SECTORNUMBER,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
      48.000,   28944.201,   29700.599,   28516.942,   28696.328,   28306.686,   27383.359,   28046.856,   28882.019,   30575.052,   31769.192,   33722.432,   32510.963,   24968.069,   26943.025,   27960.746,   27558.153,   28269.716,   29836.206,   30988.857,   31988.240,   32346.239,   32377.568,   33554.450,   32500.552
      49.000,   96450.311,   98126.779,  100331.947,   96779.709,   91073.318,   88692.709,   87531.833,   90806.809,   97441.118,  104381.073,  111536.231,  104143.036,   85531.609,  102475.327,  109221.870,  112971.395,  118056.704,  114928.715,  112554.148,  108914.265,  104298.086,  105702.627,  101206.997,   90920.620
      50.000,   35430.042,   35116.131,   33956.839,   32848.970,   29672.921,   29271.978,   26785.970,   25206.493,   24552.834,   26649.790,   27413.029,   24453.061,   17891.063,   23817.110,   25699.438,   25908.209,   26416.467,   26556.446,   24982.012,   23207.749,   22931.078,   22820.290,   21740.730,   19260.394
      51.000,   38121.075,   41883.996,   39432.908,   36766.975,   33523.402,   35601.140,   33454.209,   38985.726,   39495.714,   37150.760,   36906.420,   38745.486,   29436.947,   36437.803,   39304.240,   37642.834,   37911.574,   37070.063,   33416.485,   31798.208,   31565.100,   32885.252,   31397.382,   32714.324
      52.000,   62173.745,   68962.321,   65180.679,   60238.123,   52876.316,   54769.851,   56659.830,   70565.173,   70418.000,   57238.461,   60509.010,   67743.201,   48034.342,   57617.352,   61750.422,   60981.618,   63286.076,   66988.653,   63299.526,   59916.932,   58552.800,   63830.765,   61207.970,   53192.618
      53.000,   44928.147,   45287.313,   44000.622,   44525.350,   38146.397,   39772.371,   36691.306,   43773.340,   41533.728,   41799.867,   38995.951,   38408.868,   22637.116,   29789.697,   33115.011,   31713.944,   31384.811,   32702.749,   28622.093,   26447.213,   29663.032,   32486.349,   31359.175,   27806.106
      54.000,   31092.595,   31080.858,   30801.266,   31240.069,   28807.135,   27307.355,   27669.603,   29370.636,   31330.894,   34358.508,   36764.709,   35984.938,   28393.257,   29727.147,   31811.247,   34561.974,   35657.720,   36701.418,   36632.661,   35503.181,   35748.859,   38312.262,   39377.680,   36527.893
      55.000,   15841.628,   16017.640,   15838.737,   16130.310,   14654.793,   14018.722,   13105.748,   13013.072,   12986.312,   12951.747,   12716.116,   12458.062,    9153.441,    9324.294,    9932.198,    9629.066,    9732.005,    9883.302,    9560.213,    9120.037,    9291.482,    9942.842,   10226.630,    9864.525
      56.000,   81805.499,   85234.479,   86955.252,   91197.925,   87492.879,   87083.974,   86831.071,   82900.082,   87682.204,   94022.545,   99938.518,   93345.766,   74001.103,   76190.518,   77023.369,   77256.535,   78149.805,   79516.036,   78932.037,   78526.300,   81617.236,   81112.287,   82463.665,   80317.164
      57.000,   31498.579,   32633.658,   33187.217,   34478.548,   32416.257,   31588.007,   30746.734,   32300.443,   32894.397,   34727.766,   35770.017,   35233.249,   26887.577,   29014.574,   32990.282,   35340.233,   35657.165,   36516.021,   35488.150,   34848.603,   35504.806,   36077.189,   37078.484,   37029.928
      58.000,   15545.002,   15780.312,   15576.643,   15680.278,   14228.053,   13614.277,   12518.054,   11910.157,   11677.196,   11349.800,   10632.745,    9961.204,    7648.557,    7308.184,    7502.274,    7294.253,    7462.756,    7512.683,    7257.329,    6940.408,    6976.017,    7441.700,    7343.087,    6722.282
      59.000,   13795.695,   15634.079,   16026.816,   17793.590,   14989.324,   13836.767,   13148.306,   12877.291,   12847.184,   12796.692,   12021.729,    9839.199,    7433.855,    7656.299,    8261.932,    8445.311,    8853.869,    8967.254,    8814.468,    8623.452,    8790.659,    9045.460,    9280.196,    8149.780
      60.000,   59386.488,   61063.854,   61520.072,   62872.129,   58392.877,   57100.126,   56792.392,   58643.989,   61863.978,   65625.911,   68263.729,   69187.863,   54150.165,   58011.801,   66245.275,   67909.416,   68926.110,   70755.537,   69026.989,   66113.065,   67649.826,   72115.349,   74086.313,   67885.682
      61.000,   24655.615,   25701.616,   25878.459,   27009.926,   24990.132,   24751.231,   24405.267,   25364.668,   27419.054,   28402.664,   29469.755,   29746.188,   23251.126,   24041.697,   26167.127,   27235.699,   27935.417,   28263.762,   27234.909,   25941.528,   26178.435,   27932.891,   28716.880,   27743.067
      62.000,   78360.293,   80780.203,   80218.586,   82392.112,   76522.024,   73567.003,   72260.811,   75001.496,   78813.541,   82509.538,   85267.926,   86854.472,   65965.144,   69107.599,   74159.117,   75846.014,   76383.299,   77178.587,   74689.316,   71591.010,   72414.635,   76074.079,   78332.861,   72059.547
      63.000,   70789.664,   70812.473,   67909.357,   70766.292,   61608.915,   55904.405,   60535.508,   68384.312,   79565.492,   86387.943,   94309.800,   95684.149,   76551.961,   88020.206,  102192.834,  115458.919,  111741.256,  114950.906,  104065.031,   95692.311,   99969.497,  109910.976,  112700.740,  102476.292
      64.000,   41307.975,   40988.722,   39600.200,   41176.543,   36052.086,   32935.489,   32869.692,   33195.100,   36452.171,   38753.905,   40548.747,   38515.027,   29587.994,   31193.082,   33398.753,   33058.908,   32671.172,   32470.271,   30270.579,   27773.865,   28798.283,   31565.891,   32411.484,   30711.192
      65.000,   28914.919,   29607.466,   30107.055,   31141.721,   27774.658,   24690.050,   25225.271,   24825.010,   26734.912,   27662.523,   27275.319,   26885.625,   22277.779,   24887.480,   28930.930,   27147.311,   26504.718,   26608.324,   24883.828,   23689.138,   23664.252,   26038.447,   26748.402,   25594.211
      66.000,   41500.256,   43153.134,   44782.004,   47649.475,   43618.720,   41598.866,   41141.723,   42874.462,   44424.569,   45588.200,   45470.338,   43172.468,   34689.705,   37541.454,   39936.790,   41644.427,   40159.390,   41270.049,   41857.015,   41560.942,   43184.157,   44588.251,   45609.664,   44415.204
      67.000,   34962.482,   34713.175,   33341.826,   34537.292,   30216.060,   27855.842,   27158.470,   27772.327,   29326.151,   29219.265,   30159.087,   29893.534,   23698.904,   26289.580,   29403.346,   30602.159,   29681.806,   30302.245,   27794.929,   25817.008,   26994.922,   29429.595,   30162.993,   26869.913
      68.000,   41500.785,   45048.384,   46110.168,   51602.712,   48319.352,   46775.490,   45360.908,   45561.871,   48272.644,   48478.148,   48776.104,   48284.204,   36866.917,   41934.782,   48100.983,   54550.738,   52826.269,   53797.044,   49364.209,   46236.899,   48720.285,   53818.687,   55218.214,   50735.223
