SECTORNUMBER,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
      65.000,   27491.161,   27910.135,   26203.736,   27385.954,   24480.462,   23475.500,   24760.519,   23956.297,   24155.785,   25034.298,   24389.819,   23477.729,   20619.958,   22061.444,   22569.201,   24186.890,   23104.534,   23279.092,   23390.996,   23566.911,   22929.557,   23550.939,   23546.469,   21945.850
      66.000,   41426.400,   43111.314,   44388.633,   46363.194,   42239.989,   41020.441,   40755.190,   42551.747,   43566.215,   44250.630,   43882.795,   41591.142,   33682.443,   36526.331,   39122.613,   40087.143,   39147.405,   40508.043,   41560.167,   41358.624,   42759.004,   43917.258,   44576.103,   40871.376
      67.000,   36484.366,   36482.352,   35122.562,   36012.844,   30448.129,   28389.123,   27802.912,   28055.410,   29636.832,   29573.700,   29552.240,   30121.136,   24390.512,   27775.766,   31830.349,   30666.015,   30338.985,   30583.025,   29749.766,   27255.094,   29659.583,   31581.400,   31089.648,   25692.651
      68.000,   40227.432,   43469.474,   44102.356,   48813.800,   45856.585,   45591.277,   45390.502,   46080.833,   49406.179,   50461.851,   50933.625,   49935.679,   38723.949,   44511.928,   51533.556,   55443.163,   54070.957,   55139.681,   50193.623,   46831.765,   48933.252,   53511.165,   53319.311,   46840.653
      69.000,   89154.310,   91025.620,   87671.388,   92076.103,   82108.643,   79394.874,   81228.097,   85647.203,   91814.239,   98040.338,  100069.094,   97346.059,   75044.454,   84715.983,   93686.850,   97494.566,   94648.003,   95149.209,   89209.495,   84627.813,   88523.080,   94757.945,   92067.987,   85605.830
      70.000,    9203.603,   11813.736,   15194.708,   18727.058,   18434.977,   19199.994,   22032.697,   24192.833,   28261.604,   34555.842,   41454.707,   45064.576,   42917.328,   36874.849,   33452.906,   36874.598,   34282.027,   34169.112,   35299.460,   35538.267,   40530.548,   44379.387,   49536.737,   56644.261
      71.000,   66888.607,   69772.826,   77637.578,   97082.669,   82838.301,   61809.761,   61170.592,   62773.588,   62953.166,   63278.472,   63427.356,   59955.042,   53117.876,   53256.330,   47640.450,   42867.814,   42061.689,   40516.103,   41172.460,   40313.114,   42916.838,   44939.201,   46291.095,   46112.822
      72.000,    7611.705,    8154.540,    8839.585,   10036.774,   10607.108,    8616.760,    9230.857,    8912.380,   10389.233,   11696.584,   12703.655,   11675.288,   10778.172,    6713.656,    5038.116,    5935.025,    4691.528,    2912.433,    4849.607,    6402.864,    6362.757,    6264.923,    9716.122,    9991.549
      73.000,   76814.815,   81061.545,   87426.140,  100044.054,   83090.013,   69885.107,   72016.249,   77638.790,   82522.969,   87670.451,   95236.270,   95343.653,   79908.879,   83308.844,   96140.635,   88604.692,   88518.720,   86513.991,   88663.582,   88396.456,   92178.250,   99957.267,  106160.438,   95431.657
      74.000,   97755.421,  102336.658,  112719.375,  131338.815,  114796.351,   98225.033,  101989.665,  111300.189,  119865.066,  125767.191,  134566.225,  137377.775,  121823.136,  133630.212,  141156.338,  139369.450,  136013.537,  133891.479,  133849.558,  129027.431,  129823.559,  136949.723,  133381.823,  123776.572
      75.000,   11775.480,   11584.321,   11867.157,   13253.211,   10678.988,    9026.932,   10015.133,    7328.856,    7235.957,    6936.364,    6553.068,    5747.383,    4452.987,    4204.736,    3810.774,    3060.703,    2997.871,    2902.403,    3004.191,    2933.943,    3045.704,    3194.190,    3240.050,    3113.990
      76.000,   14590.390,   15426.013,   15884.966,   16998.590,   15345.562,   14530.436,   14243.515,   14250.439,   14324.206,   14685.968,   14368.660,   13795.605,   11552.686,   10904.521,   11359.752,   11954.121,   12030.751,   13044.161,   14352.403,   15248.915,   15243.992,   15433.248,   14818.323,   13827.038
      77.000,   20811.932,   22379.784,   23554.391,   25954.423,   24101.975,   22900.679,   23089.867,   25157.087,   25965.810,   25243.023,   23727.549,   22994.925,   20520.525,   21156.995,   20515.571,   19103.309,   19084.734,   19417.286,   20218.048,   20847.232,   19868.500,   20315.223,   20775.168,   21085.278
      78.000,   52530.992,   53451.323,   53057.628,   55234.582,   47159.527,   42595.596,   41855.802,   43587.797,   44274.436,   45543.717,   46112.927,   43299.544,   34124.571,   35201.451,   36429.972,   37072.618,   36634.152,   37349.327,   37854.771,   37543.647,   36277.246,   37832.151,   38134.970,   35175.303
      79.000,   49617.361,   53368.309,   56579.510,   60089.208,   52761.852,   48652.874,   48470.348,   52806.145,   53922.941,   51618.838,   53340.329,   51586.562,   43445.661,   45629.163,   48439.329,   50408.018,   50288.704,   53441.578,   54244.864,   53726.740,   52652.429,   53506.961,   54446.287,   50856.856
      80.000,  225501.690,  241373.730,  271217.454,  251788.542,  257285.226,  259897.682,  264475.107,  282760.587,  289710.007,  302232.952,  295286.138,  238435.131,  180057.794,  226827.744,  255417.487,  263958.445,  296129.262,  322476.438,  355695.233,  372500.542,  382833.318,  426790.690,  440766.945,  390226.555
      81.000,   26975.058,   29718.542,   32602.039,   29430.669,   26118.678,   26496.496,   28527.813,   32684.817,   35677.153,   36776.232,   32866.910,   25565.298,   19266.341,   23943.615,   26215.237,   27295.266,   29675.258,   34132.913,   37786.808,   35922.920,   38920.732,   41798.903,   43291.054,   40788.038
      82.000,  186112.575,  193526.657,  218751.658,  210902.571,  199855.703,  208669.390,  211978.696,  224409.235,  225631.343,  217287.450,  208829.140,  181383.227,  137640.325,  177231.570,  194436.631,  207331.964,  225202.765,  251281.230,  274778.462,  287787.566,  286144.920,  301056.572,  314240.945,  271539.171
      83.000,  158779.567,  193972.973,  184267.452,  151370.226,  168225.635,  153347.406,  140695.750,  140153.445,  154549.889,  154642.867,  187277.540,  190777.544,  172822.390,  178306.012,  182476.062,  202069.450,  211109.967,  222135.405,  226401.948,  216122.972,  229380.615,  241069.383,  244893.717,  161718.311
      84.000,   11260.106,   12881.096,   13505.613,   11857.970,   10856.909,    9957.447,    9585.443,    9587.913,   10241.260,   10891.447,   13298.603,   13710.454,   12737.508,   13434.581,   14393.617,   15922.264,   17137.071,   20005.993,   20208.660,   16621.506,   17706.459,   18635.981,   18947.352,   18771.093
